               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032753,             0.01689,           0.0059404,             0.87492,             0.79436,             0.85937,             0.55402,            0.035993,           0.0099652,           0.0052401,             0.00769,             0.00769,             0.00769
                  37,            0.032585,            0.016772,            0.005309,             0.86803,             0.79568,             0.86182,             0.55832,            0.036589,           0.0098946,           0.0047071,            0.007624,            0.007624,            0.007624
                  38,            0.032155,            0.016899,           0.0058508,             0.87452,             0.80754,             0.87005,             0.57907,            0.035401,           0.0097602,           0.0045832,            0.007558,            0.007558,            0.007558
                  39,            0.031974,            0.016676,           0.0056395,             0.86019,             0.79806,             0.86192,              0.5541,            0.036071,            0.010073,           0.0047403,            0.007492,            0.007492,            0.007492
                  40,            0.031595,             0.01668,           0.0053316,             0.91057,             0.81426,             0.88808,               0.596,             0.03465,           0.0095449,           0.0037399,            0.007426,            0.007426,            0.007426
                  41,            0.031382,            0.016525,           0.0053139,             0.87271,             0.80412,             0.87488,             0.57972,            0.035075,            0.009561,           0.0047315,             0.00736,             0.00736,             0.00736
                  42,            0.031132,            0.016361,           0.0050915,             0.90422,             0.81691,             0.88537,              0.5937,             0.03473,           0.0096584,           0.0034879,            0.007294,            0.007294,            0.007294
                  43,            0.031034,            0.016343,           0.0051308,             0.91153,             0.83705,             0.89982,             0.59731,             0.03451,           0.0094272,           0.0031257,            0.007228,            0.007228,            0.007228
                  44,            0.030787,             0.01632,           0.0051565,             0.90701,             0.81108,             0.88832,             0.59557,            0.034032,           0.0095504,           0.0036035,            0.007162,            0.007162,            0.007162
                  45,            0.030643,            0.016228,           0.0049434,             0.90719,             0.82722,             0.89107,             0.59682,            0.033907,           0.0093575,           0.0040463,            0.007096,            0.007096,            0.007096
